none,no,partial,low,Act
none,no,partial,medium,Act
none,no,partial,high,Act
none,no,total,low,Act
none,no,total,medium,Act
none,no,total,high,Act
none,yes,partial,low,Act
none,yes,partial,medium,Act
none,yes,partial,high,Act
none,yes,total,low,Act
none,yes,total,medium,Act
none,yes,total,high,Act
poc,no,partial,low,Act
poc,no,partial,medium,Act
poc,no,partial,high,Act
poc,no,total,low,Act
poc,no,total,medium,Act
poc,no,total,high,Act
poc,yes,partial,low,Act
poc,yes,partial,medium,Act
poc,yes,partial,high,Act
poc,yes,total,low,Act
poc,yes,total,medium,Act
poc,yes,total,high,Act
active,no,partial,low,Act
active,no,partial,medium,Act
active,no,partial,high,Act
active,no,total,low,Act
active,no,total,medium,Act
active,no,total,high,Act
active,yes,partial,low,Act
active,yes,partial,medium,Act
active,yes,partial,high,Act
active,yes,total,low,Act
active,yes,total,medium,Act
active,yes,total,high,Act
